tri_celltype,occurrence_num,rank
Astro&Micro&SMC,19,1
Astro&OPC&SMC,18,2
Astro&Inh&SMC,32,3
Astro&Endo&SMC,32,4
Astro&Oligo&SMC,157,5
Astro&CTX-Ex&SMC,1082,6
Astro&CA1&SMC,13,7
Astro&DG&SMC,13,8
Astro&CA2&SMC,14,9
Astro&CA3&SMC,13,10
Astro&LHb&SMC,16,11
Micro&OPC&SMC,11,12
Inh&Micro&SMC,15,13
Endo&Micro&SMC,20,14
Micro&Oligo&SMC,114,15
CTX-Ex&Micro&SMC,905,16
CA1&Micro&SMC,7,17
DG&Micro&SMC,7,18
CA2&Micro&SMC,7,19
CA3&Micro&SMC,7,20
LHb&Micro&SMC,8,21
Inh&OPC&SMC,16,22
Endo&OPC&SMC,20,23
OPC&Oligo&SMC,102,24
CTX-Ex&OPC&SMC,862,25
CA1&OPC&SMC,8,26
DG&OPC&SMC,8,27
CA2&OPC&SMC,8,28
CA3&OPC&SMC,8,29
LHb&OPC&SMC,9,30
Endo&Inh&SMC,30,31
Inh&Oligo&SMC,133,32
CTX-Ex&Inh&SMC,1173,33
CA1&Inh&SMC,8,34
DG&Inh&SMC,8,35
CA2&Inh&SMC,8,36
CA3&Inh&SMC,8,37
Inh&LHb&SMC,9,38
Endo&Oligo&SMC,124,39
CTX-Ex&Endo&SMC,1101,40
CA1&Endo&SMC,14,41
DG&Endo&SMC,14,42
CA2&Endo&SMC,14,43
CA3&Endo&SMC,14,44
Endo&LHb&SMC,15,45
CTX-Ex&Oligo&SMC,1407,46
CA1&Oligo&SMC,86,47
DG&Oligo&SMC,84,48
CA2&Oligo&SMC,84,49
CA3&Oligo&SMC,84,50
LHb&Oligo&SMC,100,51
CA1&CTX-Ex&SMC,797,52
CTX-Ex&DG&SMC,801,53
CA2&CTX-Ex&SMC,798,54
CA3&CTX-Ex&SMC,797,55
CTX-Ex&LHb&SMC,792,56
CA1&DG&SMC,4,57
CA1&CA2&SMC,4,58
CA1&CA3&SMC,4,59
CA1&LHb&SMC,5,60
CA2&DG&SMC,4,61
CA3&DG&SMC,4,62
DG&LHb&SMC,5,63
CA2&CA3&SMC,4,64
CA2&LHb&SMC,5,65
CA3&LHb&SMC,5,66
Astro&Inh&Micro,13,67
Astro&Endo&Micro,12,68
Astro&Micro&Oligo,133,69
Astro&CTX-Ex&Micro,1064,70
Astro&LHb&Micro,4,71
Astro&Inh&OPC,17,72
Astro&Endo&OPC,10,73
Astro&OPC&Oligo,122,74
Astro&CTX-Ex&OPC,1015,75
Astro&LHb&OPC,2,76
Astro&Endo&Inh,32,77
Astro&Inh&Oligo,175,78
Astro&CTX-Ex&Inh,1372,79
Astro&CA1&Inh,9,80
Astro&DG&Inh,9,81
Astro&CA2&Inh,10,82
Astro&CA3&Inh,9,83
Astro&Inh&LHb,12,84
Astro&Endo&Oligo,152,85
Astro&CTX-Ex&Endo,1282,86
Astro&CA1&Endo,7,87
Astro&DG&Endo,7,88
Astro&CA2&Endo,7,89
Astro&CA3&Endo,7,90
Astro&Endo&LHb,10,91
Astro&CTX-Ex&Oligo,1657,92
Astro&CA1&Oligo,112,93
Astro&DG&Oligo,108,94
Astro&CA2&Oligo,109,95
Astro&CA3&Oligo,108,96
Astro&LHb&Oligo,127,97
Astro&CA1&CTX-Ex,950,98
Astro&CTX-Ex&DG,955,99
Astro&CA2&CTX-Ex,952,100
Astro&CA3&CTX-Ex,950,101
Astro&CTX-Ex&LHb,951,102
Astro&CA1&LHb,2,103
Astro&DG&LHb,2,104
Astro&CA2&LHb,2,105
Astro&CA3&LHb,2,106
Inh&Micro&OPC,7,107
Endo&Micro&OPC,6,108
Micro&OPC&Oligo,84,109
CTX-Ex&Micro&OPC,853,110
Endo&Inh&Micro,21,111
Inh&Micro&Oligo,121,112
CTX-Ex&Inh&Micro,1179,113
CA1&Inh&Micro,4,114
DG&Inh&Micro,4,115
CA2&Inh&Micro,4,116
CA3&Inh&Micro,4,117
Inh&LHb&Micro,4,118
Endo&Micro&Oligo,110,119
CTX-Ex&Endo&Micro,1091,120
CA1&Endo&Micro,5,121
DG&Endo&Micro,5,122
CA2&Endo&Micro,5,123
CA3&Endo&Micro,5,124
Endo&LHb&Micro,5,125
CTX-Ex&Micro&Oligo,1406,126
CA1&Micro&Oligo,77,127
DG&Micro&Oligo,77,128
CA2&Micro&Oligo,75,129
CA3&Micro&Oligo,75,130
LHb&Micro&Oligo,90,131
CA1&CTX-Ex&Micro,797,132
CTX-Ex&DG&Micro,803,133
CA2&CTX-Ex&Micro,799,134
CA3&CTX-Ex&Micro,797,135
CTX-Ex&LHb&Micro,792,136
Endo&Inh&OPC,15,137
Inh&OPC&Oligo,117,138
CTX-Ex&Inh&OPC,1121,139
CA1&Inh&OPC,5,140
DG&Inh&OPC,5,141
CA2&Inh&OPC,5,142
CA3&Inh&OPC,5,143
Inh&LHb&OPC,8,144
Endo&OPC&Oligo,94,145
CTX-Ex&Endo&OPC,1028,146
CA1&Endo&OPC,3,147
DG&Endo&OPC,3,148
CA2&Endo&OPC,3,149
CA3&Endo&OPC,3,150
Endo&LHb&OPC,3,151
CTX-Ex&OPC&Oligo,1345,152
CA1&OPC&Oligo,66,153
DG&OPC&Oligo,65,154
CA2&OPC&Oligo,64,155
CA3&OPC&Oligo,64,156
LHb&OPC&Oligo,76,157
CA1&CTX-Ex&OPC,751,158
CTX-Ex&DG&OPC,755,159
CA2&CTX-Ex&OPC,752,160
CA3&CTX-Ex&OPC,751,161
CTX-Ex&LHb&OPC,745,162
Endo&Inh&Oligo,149,163
CTX-Ex&Endo&Inh,1392,164
CA1&Endo&Inh,10,165
DG&Endo&Inh,10,166
CA2&Endo&Inh,11,167
CA3&Endo&Inh,10,168
Endo&Inh&LHb,10,169
CTX-Ex&Inh&Oligo,1756,170
CA1&Inh&Oligo,100,171
DG&Inh&Oligo,98,172
CA2&Inh&Oligo,98,173
CA3&Inh&Oligo,98,174
Inh&LHb&Oligo,112,175
CA1&CTX-Ex&Inh,1048,176
CTX-Ex&DG&Inh,1051,177
CA2&CTX-Ex&Inh,1051,178
CA3&CTX-Ex&Inh,1049,179
CTX-Ex&Inh&LHb,1042,180
CA1&DG&Inh,2,181
CA1&CA2&Inh,2,182
CA1&CA3&Inh,2,183
CA1&Inh&LHb,2,184
CA2&DG&Inh,2,185
CA3&DG&Inh,2,186
DG&Inh&LHb,2,187
CA2&CA3&Inh,2,188
CA2&Inh&LHb,2,189
CA3&Inh&LHb,2,190
CTX-Ex&Endo&Oligo,1656,191
CA1&Endo&Oligo,85,192
DG&Endo&Oligo,83,193
CA2&Endo&Oligo,84,194
CA3&Endo&Oligo,83,195
Endo&LHb&Oligo,97,196
CA1&CTX-Ex&Endo,968,197
CTX-Ex&DG&Endo,972,198
CA2&CTX-Ex&Endo,970,199
CA3&CTX-Ex&Endo,970,200
CTX-Ex&Endo&LHb,962,201
CA1&DG&Endo,2,202
CA1&CA2&Endo,2,203
CA1&CA3&Endo,2,204
CA1&Endo&LHb,2,205
CA2&DG&Endo,2,206
CA3&DG&Endo,2,207
DG&Endo&LHb,2,208
CA2&CA3&Endo,2,209
CA2&Endo&LHb,2,210
CA3&Endo&LHb,2,211
CA1&CTX-Ex&Oligo,1262,212
CTX-Ex&DG&Oligo,1262,213
CA2&CTX-Ex&Oligo,1260,214
CA3&CTX-Ex&Oligo,1258,215
CTX-Ex&LHb&Oligo,1270,216
CA1&DG&Oligo,57,217
CA1&CA2&Oligo,57,218
CA1&CA3&Oligo,57,219
CA1&LHb&Oligo,68,220
CA2&DG&Oligo,55,221
CA3&DG&Oligo,55,222
DG&LHb&Oligo,66,223
CA2&CA3&Oligo,55,224
CA2&LHb&Oligo,66,225
CA3&LHb&Oligo,66,226
CA1&CTX-Ex&DG,702,227
CA1&CA2&CTX-Ex,699,228
CA1&CA3&CTX-Ex,698,229
CA1&CTX-Ex&LHb,694,230
CA2&CTX-Ex&DG,703,231
CA3&CTX-Ex&DG,702,232
CTX-Ex&DG&LHb,696,233
CA2&CA3&CTX-Ex,699,234
CA2&CTX-Ex&LHb,693,235
CA3&CTX-Ex&LHb,692,236
